,"Índice de producción industrial, INE (base 2009=100)","Índice de producción industrial, INE (base 2014=100)",Índice de producción industrial SOFOFA (base 2000=100),Índice de producción industrial SOFOFA (base 2000=100),Índice de producción industrial SOFOFA (base 2000=100),Índice de producción industrial SOFOFA (base 2000=100),"Índice producción industrial, SOFOFA (2003=100)","Índice producción industrial, SOFOFA (2014=100)",Índice de ventas industriales SOFOFA (base 2014=100),Índice de ventas industriales SOFOFA (base 2003=100),Índice de ventas industriales SOFOFA (base 2000=100),MA
2015-01-10,117.19780685856159,104.2444409253,,,,,117.18818267154025,102.33134460449219,104.46359252929688,114.50972502248223,,100.46383024166067
2015-01-11,114.89865766911737,100.95606455727,,,,,115.82414050475256,100.67998504638672,102.91233825683594,112.13444611024421,,100.518004008989
2015-01-12,116.80121196436777,104.92808502385,,,,,120.83539802869522,107.30130767822266,109.47607421875,122.54601869857777,,100.45649650342898
2016-01-01,109.58082743728892,96.95233608411,,,,,110.84647303312653,98.02962493896484,96.00711059570312,109.9685560751607,,100.08731719968564
2016-01-02,108.69646869025509,96.883370884406,,,,,107.81424895980999,95.16187286376953,98.54119110107422,109.4392267602742,,100.31369530391974
2016-01-03,119.02252066153628,107.10848562839,,,,,123.5960730775012,103.78893280029297,102.18122100830078,116.10513934259362,,100.61158147771808
2016-01-04,108.03484852680387,97.694372812352,,,,,115.77486555906316,98.25731658935547,98.60675048828125,109.19816711356263,,100.42250017681882
2016-01-05,112.07884416294682,101.23939817867,,,,,114.74689147095822,100.55120849609375,98.94286346435547,109.80506629192598,,100.40309615778297
2016-01-06,110.25214369956963,97.146079759631,,,,,108.68603665557961,94.83850860595703,97.30067443847656,107.79457278435271,,100.04466696230473
2016-01-07,107.83815682697501,96.556568250072,,,,,106.53452682661865,98.3829574584961,97.08953094482422,102.37832147323343,,99.82764782993955
2016-01-08,110.23115286748606,99.077647181062,,,,,114.22734006462879,101.01734161376953,102.03130340576172,112.85767126278259,,100.15465437464705
2016-01-09,110.04193502026652,97.594357678037,,,,,110.26861649650533,99.0074691772461,98.70377349853516,109.42267560254685,,100.03176724692914
2016-01-10,108.50662813198105,98.466900737686,,,,,109.18872785903483,96.46537017822266,100.30481719970703,108.76247998053519,,99.55030556462798
2016-01-11,113.35186498129464,102.24343459162,,,,,111.35818961206874,100.90454864501953,100.74981689453125,108.45690253127124,,99.65758640082379
2016-01-12,117.17858807697083,104.27786958955,,,,,115.06797278233097,102.19767761230469,109.85429382324219,119.24407135829735,,99.60340178129879
2017-01-01,,96.329134997759,,,,,107.16451735886432,94.28837585449219,92.33451080322266,105.2983761294157,,99.5514683574362
2017-01-02,,87.905646266453,,,,,107.72890045980448,89.9265365600586,93.066650390625,104.56235233364261,,98.80332463927346
2017-01-03,,97.30612555151,,,,,125.40680227782936,104.25997924804688,109.15452575683594,117.7372655153741,,97.98646129953345
2017-01-04,,92.762999749762,,,,,104.52158328366266,91.47432708740234,91.99041748046875,101.95530723900816,,97.57551354431762
2017-01-05,,100.09868317571,,,,,116.25371857762023,101.41382598876953,100.765625,111.56718073538083,,97.48045396073762
2017-01-06,,95.555319084533,,,,,107.28126497597783,94.25194549560547,99.00996398925781,106.89288337757228,,97.34789057114612
2017-01-07,,98.903602145404,,,,,110.04053167848888,96.53076934814453,95.88627624511719,108.51830713788026,,97.54347672909046
2017-01-08,,103.0939073262,,,,,114.62084068811453,100.30442810058594,104.85791778564453,116.01119821052457,,97.87816507451862
2017-01-09,,98.32824406475,,,,,105.81848450970527,92.77377319335938,99.64643859863281,109.55296095153857,,97.93932227341138
2017-01-10,,102.76852933054,,,,,111.27531243662341,95.10299682617188,100.30873107910156,111.5381517396058,,98.29779132281588
2017-01-11,,104.37899949252,,,,,119.77723939268701,103.41204833984375,103.53084564208984,113.52916800857469,,98.47575506455756
2017-01-12,,104.39042876811,,,,,113.84896961816537,96.64183807373047,110.2040023803711,120.37225252027963,,98.48513499610424
2018-01-01,,99.886652914519,,,,,,98.790283203125,98.11029815673828,,,98.78159482250089
2018-01-02,,96.364448067325,,,,,,91.78778076171875,93.98823547363281,,,99.48649497257355
2018-01-03,,106.23819306509,,,,,,101.54930877685547,104.9285659790039,,,100.23083393203855
2018-01-04,,99.486200321284,,,,,,100.1064224243164,97.5530776977539,,,100.79110064633205
2018-01-05,,103.37927994526,,,,,,101.3877944946289,102.62178039550781,,,101.06448371046122
2018-01-06,,100.60099392062,,,,,,98.9310531616211,101.63719940185547,,,101.48495661346847
2018-01-07,,99.883925341109,,,,,,95.43890380859375,98.47129821777344,,,101.56665021311056
2018-01-08,,102.76098149847,,,,,,104.49093627929688,110.47006225585938,,,101.53890639413306
2018-01-09,,95.965398131325,,,,,,89.08479309082031,99.2844467163086,,,101.34200256634766
2018-01-10,,104.36870009662,,,,,,105.60020446777344,109.34004211425781,,,101.47535013018764
2018-01-11,,106.54769894322,,,,,,102.71204376220703,101.96825408935547,,,101.65607508441263
2018-01-12,,107.88110738601,,,,,,102.17063903808594,106.96507263183594,,,101.94696496923763
2019-01-01,,99.399380019268,,,,,,100.96421813964844,102.10800170898438,,,101.90635889463336
2019-01-02,,92.553919137622,,,,,,89.16793823242188,94.72645568847656,,,101.58881481715811
2019-01-03,,104.55663214794,,,,,,103.76354217529297,107.90914916992188,,,101.44868474072895
2019-01-04,,100.05350010174,,,,,,97.46862030029297,99.72622680664062,,,101.49595972243361
2019-01-05,,103.63709466168,,,,,,101.36090087890625,101.87882232666016,,,101.51744428213529
2019-01-06,,97.329444914856,,,,,,95.0757064819336,97.35582733154297,,,101.24481519832163
2019-01-07,,101.3187305005,,,,,,101.4471435546875,103.10836029052734,,,101.36438229493753
2019-01-08,,104.11323654405,,,,,,97.73164367675781,105.60920715332031,,,101.47707021540253
2019-01-09,,96.461901602375,,,,,,93.32646942138672,94.4486312866211,,,101.51844550465671
2019-01-10,,101.39874522163,,,,,,99.87934112548828,96.71695709228516,,,101.27094926507421
2019-01-11,,103.93690432676,,,,,,101.00196075439453,106.63956451416016,,,101.05338304703588
2019-01-12,,110.85394851247,,,,,,100.09306335449219,107.3480224609375,,,101.30111980757421
2020-01-01,,101.37196235102,,,,,,101.82144165039062,103.37293243408203,,,101.46550166855356
2020-01-02,,97.506075408219,,,,,,95.05014038085938,100.40609741210938,,,101.87818135776998
2020-01-03,,105.59528440465,,,,,,103.52489471435547,105.57110595703125,,,101.96473571249582
2020-01-04,,96.028776885639,,,,,,94.4794692993164,94.05215454101562,,,101.62934211115407
2020-01-05,,97.39852704838,,,,,,93.59398651123047,95.70702362060547,,,101.1094614767124
2020-01-06,,94.779662442158,,,,,,87.59801483154297,94.3693618774414,,,100.89697960398757
2020-01-07,,97.897292772771,,,,,,97.39818572998047,101.95335388183594,,,100.6118597933435
2020-01-08,,99.031206328668,,,,,,98.55567169189453,103.23084259033203,,,100.18835727539499
2020-01-09,,98.347645301785,,,,,,96.01215362548828,100.93595123291016,,,100.34550258367915
2020-01-10,,104.98457443581,,,,,,103.41539001464844,112.48233795166016,,,100.64432168486081
2020-01-11,,103.50235404618,,,,,,102.7475814819336,106.57637786865234,,,100.60810916147915
2020-01-12,,106.85694098685,,,,,,104.9147720336914,110.51264953613281,,,100.27502520101082
2021-01-01,,98.987606222316,,,,,,98.36618041992188,102.05319213867188,,,100.07632885695216
2021-01-02,,94.053745986273,,,,,,93.03775787353516,96.72306823730469,,,99.78863473845666
2021-01-03,,108.74807429495,,,,,,110.88229370117188,119.56422424316406,,,100.05136722931498
2021-01-04,,100.88785718468,,,,,,99.9453353881836,106.046630859375,,,100.45629058756839
